id_producto,nombre,categoria,subcategoria,marca,precio_lista,costo_unitario,fecha_alta
P0060,Cafe e infusiones Rimac Hogar 442,Bebidas,Cafe e infusiones,Rimac Hogar,13.5,8.56,2018-10-03
P0061,Televisores Costa Real 887,Electrohogar,Televisores,Costa Real,1195.44,894.65,2019-10-24
P0062,Textiles de hogar Amauta 475,Hogar,Textiles de hogar,Amauta,120.97,82.68,2020-04-18
P0063,Cafe e infusiones Wari 430,Bebidas,Cafe e infusiones,Wari,13.18,9.22,2018-05-28
P0064,Menestras Costa Real 932,Abarrotes,Menestras,Costa Real,10.5,7.79,2022-10-28
P0065,Lejia Selecta 10,Limpieza,Lejia,Selecta,13.66,8.71,2019-11-06
P0066,Gaseosas Pacifico Home 73,Bebidas,Gaseosas,Pacifico Home,5.38,3.72,2018-04-30
P0067,Detergentes Selecta 841,Limpieza,Detergentes,Selecta,13.0,10.1,2022-02-18
P0068,Menaje de cocina Valle Norte 548,Hogar,Menaje de cocina,Valle Norte,36.19,25.52,2018-08-20
P0069,Arroz Kallpa 840,Abarrotes,Arroz,Kallpa,22.87,15.48,2024-03-25
P0070,Televisores Amauta 723,Electrohogar,Televisores,Amauta,763.0,505.9,2021-01-29
P0071,Cafe e infusiones Kallpa 816,Bebidas,Cafe e infusiones,Kallpa,4.38,3.4,2020-01-16
P0072,Limpiadores de superficie Piurana 845,Limpieza,Limpiadores de superficie,Piurana,20.59,14.01,2023-05-17
P0073,Decoracion MaxHogar 959,Hogar,Decoracion,MaxHogar,203.91,159.06,2020-11-02
P0074,Iluminacion Costa Real 780,Hogar,Iluminacion,Costa Real,80.6,60.31,2021-06-08
P0075,Ventiladores Pacifico Home 202,Electrohogar,Ventiladores,Pacifico Home,103.67,78.44,2022-12-27
P0076,Conservas Trujillana 498,Abarrotes,Conservas,Trujillana,3.63,2.48,2018-02-26
P0077,Cervezas Cusco Natural 293,Bebidas,Cervezas,Cusco Natural,6.52,4.29,2020-01-14
P0078,Cuidado dental Piurana 835,Cuidado Personal,Cuidado dental,Piurana,7.22,5.45,2023-01-31
P0079,Papel higienico Pacifico Home 380,Limpieza,Papel higienico,Pacifico Home,29.87,18.48,2019-12-29
P0080,Decoracion Wari 945,Hogar,Decoracion,Wari,33.31,20.61,2023-06-05
P0081,Limpiadores de superficie Inca Blanco 961,Limpieza,Limpiadores de superficie,Inca Blanco,5.58,4.34,2019-06-02
P0082,Papel higienico Wari 172,Limpieza,Papel higienico,Wari,18.16,11.01,2021-05-31
P0083,Decoracion Costa Real 49,Hogar,Decoracion,Costa Real,40.45,26.74,2022-01-14
P0084,Jugos Vital 581,Bebidas,Jugos,Vital,9.06,5.72,2022-12-02
P0085,Aceites Inca Blanco 598,Abarrotes,Aceites,Inca Blanco,7.63,5.55,2020-01-06
P0086,Licuadoras Inca Blanco 704,Electrohogar,Licuadoras,Inca Blanco,1013.27,733.23,2021-12-07
P0087,Textiles de hogar Cusco Natural 254,Hogar,Textiles de hogar,Cusco Natural,35.7,21.66,2021-07-27
P0088,Aceites Piurana 646,Abarrotes,Aceites,Piurana,6.53,4.86,2018-06-27
P0089,Bolsas Selecta 214,Limpieza,Bolsas,Selecta,29.62,23.14,2020-06-12
P0090,Microondas Kallpa 922,Electrohogar,Microondas,Kallpa,65.47,49.25,2021-08-28
P0091,Menaje de cocina Kallpa 570,Hogar,Menaje de cocina,Kallpa,10.2,7.04,2023-05-17
P0092,Jabon MaxHogar 576,Cuidado Personal,Jabon,MaxHogar,9.47,6.12,2020-02-25
P0093,Licuadoras Sureña 930,Electrohogar,Licuadoras,Sureña,1199.38,864.07,2022-09-20
P0094,Arroz Sureña 316,Abarrotes,Arroz,Sureña,29.62,18.51,2018-12-12
P0095,Organizadores Andina 301,Hogar,Organizadores,Andina,37.61,25.65,2020-10-08
P0096,Ventiladores Nortex 756,Electrohogar,Ventiladores,Nortex,950.33,664.46,2019-11-21
P0097,Menaje de cocina Andina 754,Hogar,Menaje de cocina,Andina,20.27,14.63,2018-03-27
P0098,Jabon Frescor 328,Cuidado Personal,Jabon,Frescor,6.09,3.91,2022-04-19
P0099,Jugos Nortex 129,Bebidas,Jugos,Nortex,19.19,14.32,2021-11-10
P0100,Cafe e infusiones Sureña 810,Bebidas,Cafe e infusiones,Sureña,16.79,11.99,2024-01-15
P0101,Fideos Rimac Hogar 231,Abarrotes,Fideos,Rimac Hogar,4.17,2.85,2019-06-23
P0102,Ventiladores Andina 425,Electrohogar,Ventiladores,Andina,230.22,156.73,2022-05-12
P0103,Planchas Piurana 875,Electrohogar,Planchas,Piurana,181.28,138.74,2018-12-29
P0104,Refrigeradoras Selecta 89,Electrohogar,Refrigeradoras,Selecta,144.7,111.13,2019-07-01
P0105,Agua Costa Real 178,Bebidas,Agua,Costa Real,6.79,4.18,2018-04-30
P0106,Iluminacion Andina 10,Hogar,Iluminacion,Andina,49.46,37.97,2018-11-11
P0107,Azucar y sal Amauta 531,Abarrotes,Azucar y sal,Amauta,19.29,14.27,2024-05-25
P0108,Licuadoras Limax 356,Electrohogar,Licuadoras,Limax,435.62,291.86,2018-09-12
P0109,Detergentes Nortex 870,Limpieza,Detergentes,Nortex,7.39,5.76,2024-03-03
P0110,Jugos Sureña 99,Bebidas,Jugos,Sureña,4.16,2.82,2018-09-04
P0111,Cuidado dental Sol Peruano 797,Cuidado Personal,Cuidado dental,Sol Peruano,12.41,8.67,2018-11-10
P0112,Textiles de hogar Wari 696,Hogar,Textiles de hogar,Wari,57.59,45.93,2021-03-22
P0113,Cervezas Vital 546,Bebidas,Cervezas,Vital,2.68,1.99,2023-05-03
P0114,Organizadores Vital 944,Hogar,Organizadores,Vital,66.09,44.31,2022-05-22
P0115,Papel higienico Kallpa 977,Limpieza,Papel higienico,Kallpa,7.67,6.04,2018-07-06
P0116,Microondas Selecta 149,Electrohogar,Microondas,Selecta,106.06,84.34,2022-11-24
P0117,Menestras Inca Blanco 540,Abarrotes,Menestras,Inca Blanco,3.95,2.94,2020-02-07
P0118,Cuidado dental Pacifico Home 428,Cuidado Personal,Cuidado dental,Pacifico Home,32.17,24.25,2018-08-06
P0119,Organizadores Valle Norte 541,Hogar,Organizadores,Valle Norte,18.36,12.29,2024-05-25
P0120,Cuidado dental Selecta 33,Cuidado Personal,Cuidado dental,Selecta,34.72,21.54,2020-11-15
P0121,Iluminacion Sureña 602,Hogar,Iluminacion,Sureña,156.84,112.84,2020-04-15
P0122,Cafe e infusiones Amauta 597,Bebidas,Cafe e infusiones,Amauta,7.35,5.72,2020-04-24
P0123,Jabon Nortex 748,Cuidado Personal,Jabon,Nortex,12.57,8.76,2018-07-04
P0124,Iluminacion Piurana 90,Hogar,Iluminacion,Piurana,86.94,68.4,2022-08-27
P0125,Papel higienico Limax 633,Limpieza,Papel higienico,Limax,15.47,10.16,2021-06-24
P0126,Jugos Amauta 551,Bebidas,Jugos,Amauta,2.32,1.47,2022-08-08
P0127,Energizantes Amauta 29,Bebidas,Energizantes,Amauta,3.02,2.19,2019-03-28
P0128,Detergentes Pacifico Home 214,Limpieza,Detergentes,Pacifico Home,5.38,4.16,2019-09-07
P0129,Lejia Sureña 449,Limpieza,Lejia,Sureña,15.66,12.47,2018-07-28
P0130,Cafe e infusiones Valle Norte 652,Bebidas,Cafe e infusiones,Valle Norte,2.89,2.18,2020-06-26
P0131,Cafe e infusiones Nortex 67,Bebidas,Cafe e infusiones,Nortex,7.66,5.76,2021-05-07
P0132,Cuidado facial Rimac Hogar 430,Cuidado Personal,Cuidado facial,Rimac Hogar,29.74,20.87,2023-11-22
P0133,Menestras Kallpa 598,Abarrotes,Menestras,Kallpa,14.26,11.14,2024-01-30
P0134,Azucar y sal MaxHogar 582,Abarrotes,Azucar y sal,MaxHogar,16.08,12.42,2021-12-15
P0135,Fideos Trujillana 795,Abarrotes,Fideos,Trujillana,6.03,3.68,2019-05-22
P0136,Televisores MaxHogar 607,Electrohogar,Televisores,MaxHogar,1005.1,693.05,2022-10-05
P0137,Bolsas Valle Norte 288,Limpieza,Bolsas,Valle Norte,23.31,18.48,2023-02-18
P0138,Bolsas Inca Blanco 80,Limpieza,Bolsas,Inca Blanco,15.34,11.9,2021-12-14
P0139,Panaderia Rimac Hogar 921,Abarrotes,Panaderia,Rimac Hogar,17.2,12.75,2021-11-19
P0140,Agua Sol Peruano 306,Bebidas,Agua,Sol Peruano,15.48,10.53,2019-06-26
P0141,Licuadoras Amauta 223,Electrohogar,Licuadoras,Amauta,427.19,335.27,2022-08-12
P0142,Papel higienico Limax 470,Limpieza,Papel higienico,Limax,5.38,4.11,2024-01-11
P0143,Limpiadores de superficie MaxHogar 454,Limpieza,Limpiadores de superficie,MaxHogar,32.37,20.9,2024-01-15
P0144,Iluminacion Vital 689,Hogar,Iluminacion,Vital,218.07,169.71,2021-06-01
P0145,Bolsas Piurana 532,Limpieza,Bolsas,Piurana,8.01,6.39,2023-06-21
P0146,Azucar y sal Inca Blanco 324,Abarrotes,Azucar y sal,Inca Blanco,29.37,23.22,2019-10-24
P0147,Iluminacion Piurana 812,Hogar,Iluminacion,Piurana,121.9,87.08,2022-11-02
P0148,Lejia Andina 712,Limpieza,Lejia,Andina,9.28,6.26,2018-07-13
P0149,Menaje de cocina Kallpa 263,Hogar,Menaje de cocina,Kallpa,49.1,37.06,2022-03-18
P0150,Cuidado dental Amauta 20,Cuidado Personal,Cuidado dental,Amauta,28.78,22.15,2020-11-09
P0151,Ventiladores Rimac Hogar 920,Electrohogar,Ventiladores,Rimac Hogar,78.71,56.81,2020-08-31
P0152,Ventiladores Rimac Hogar 205,Electrohogar,Ventiladores,Rimac Hogar,768.96,590.57,2022-12-19
P0153,Ventiladores Frescor 723,Electrohogar,Ventiladores,Frescor,669.77,453.22,2023-10-02
P0154,Panaderia Vital 181,Abarrotes,Panaderia,Vital,9.47,6.25,2019-08-18
P0155,Textiles de hogar Trujillana 577,Hogar,Textiles de hogar,Trujillana,52.94,35.81,2022-05-18
P0156,Panaderia Frescor 460,Abarrotes,Panaderia,Frescor,3.12,2.45,2018-03-17
P0157,Fideos Vital 784,Abarrotes,Fideos,Vital,15.32,11.35,2020-10-31
P0158,Conservas Selecta 357,Abarrotes,Conservas,Selecta,14.81,11.68,2024-06-19
P0159,Conservas Limax 804,Abarrotes,Conservas,Limax,31.8,23.65,2018-07-14
P0160,Jabon Amauta 360,Cuidado Personal,Jabon,Amauta,15.77,11.48,2022-01-22
P0161,Licuadoras Inca Blanco 149,Electrohogar,Licuadoras,Inca Blanco,247.6,162.8,2024-03-17
P0162,Microondas Frescor 310,Electrohogar,Microondas,Frescor,148.19,112.94,2020-05-31
P0163,Energizantes Costa Real 89,Bebidas,Energizantes,Costa Real,9.67,6.81,2019-08-12
P0164,Refrigeradoras Costa Real 964,Electrohogar,Refrigeradoras,Costa Real,353.85,273.41,2022-07-07
P0165,Detergentes Trujillana 852,Limpieza,Detergentes,Trujillana,6.81,4.19,2024-03-10
P0166,Conservas Limax 359,Abarrotes,Conservas,Limax,23.65,18.36,2022-11-26
P0167,Panaderia Valle Norte 926,Abarrotes,Panaderia,Valle Norte,11.23,8.16,2021-08-15
P0168,Organizadores Amauta 522,Hogar,Organizadores,Amauta,21.7,17.09,2018-05-01
P0169,Cervezas Costa Real 928,Bebidas,Cervezas,Costa Real,13.11,9.45,2021-10-07
P0170,Detergentes Inca Blanco 982,Limpieza,Detergentes,Inca Blanco,14.64,10.95,2021-08-24
P0171,Bolsas Nortex 966,Limpieza,Bolsas,Nortex,17.44,12.93,2020-05-29
P0172,Iluminacion Pacifico Home 190,Hogar,Iluminacion,Pacifico Home,25.3,19.2,2023-05-12
P0173,Iluminacion Valle Norte 22,Hogar,Iluminacion,Valle Norte,51.14,31.31,2022-04-23
P0174,Lejia Nortex 356,Limpieza,Lejia,Nortex,6.63,5.3,2022-10-29
P0175,Aceites Pacifico Home 794,Abarrotes,Aceites,Pacifico Home,5.5,3.61,2019-05-10
P0176,Licuadoras Piurana 248,Electrohogar,Licuadoras,Piurana,865.8,586.9,2019-03-15
P0177,Microondas MaxHogar 740,Electrohogar,Microondas,MaxHogar,1067.29,832.96,2023-11-30
P0178,Textiles de hogar Sol Peruano 301,Hogar,Textiles de hogar,Sol Peruano,148.44,118.71,2019-10-26
P0179,Detergentes Kallpa 143,Limpieza,Detergentes,Kallpa,23.97,18.24,2019-01-27
P0180,Cafe e infusiones Vital 660,Bebidas,Cafe e infusiones,Vital,3.63,2.71,2019-03-14
P0181,Desodorantes Inca Blanco 51,Cuidado Personal,Desodorantes,Inca Blanco,18.29,12.25,2021-08-10
P0182,Cuidado facial Selecta 330,Cuidado Personal,Cuidado facial,Selecta,10.15,8.02,2020-12-08
P0183,Textiles de hogar Limax 205,Hogar,Textiles de hogar,Limax,11.96,7.32,2023-05-11
P0184,Menaje de cocina Andina 754,Hogar,Menaje de cocina,Andina,80.59,58.18,2021-10-25
P0185,Microondas Andina 64,Electrohogar,Microondas,Andina,115.45,85.31,2019-01-14
P0186,Textiles de hogar Nortex 244,Hogar,Textiles de hogar,Nortex,35.14,26.94,2018-04-06
P0187,Ventiladores Rimac Hogar 970,Electrohogar,Ventiladores,Rimac Hogar,259.04,171.06,2024-06-11
P0188,Bolsas Pacifico Home 418,Limpieza,Bolsas,Pacifico Home,30.47,22.73,2020-03-23
P0189,Microondas Valle Norte 634,Electrohogar,Microondas,Valle Norte,508.01,316.38,2019-09-16
P0190,Jabon Trujillana 888,Cuidado Personal,Jabon,Trujillana,6.61,4.99,2018-12-19
P0191,Licuadoras Vital 557,Electrohogar,Licuadoras,Vital,854.6,618.11,2020-12-01
P0192,Desodorantes Sureña 20,Cuidado Personal,Desodorantes,Sureña,17.85,12.55,2018-02-03
P0193,Desodorantes Amauta 220,Cuidado Personal,Desodorantes,Amauta,13.85,9.58,2019-01-09
P0194,Televisores Selecta 886,Electrohogar,Televisores,Selecta,851.81,547.22,2019-06-27
P0195,Agua MaxHogar 365,Bebidas,Agua,MaxHogar,12.29,8.72,2021-03-19
P0196,Lejia Cusco Natural 890,Limpieza,Lejia,Cusco Natural,9.62,7.42,2022-11-10
P0197,Energizantes Limax 990,Bebidas,Energizantes,Limax,11.34,8.28,2021-04-02
P0198,Licuadoras Cusco Natural 525,Electrohogar,Licuadoras,Cusco Natural,1544.79,1052.5,2020-05-26
P0199,Arroz Sureña 941,Abarrotes,Arroz,Sureña,3.67,2.87,2022-11-08
P0200,Lejia Frescor 635,Limpieza,Lejia,Frescor,5.41,3.51,2023-02-19
P0201,Jabon Cusco Natural 441,Cuidado Personal,Jabon,Cusco Natural,7.78,4.91,2019-11-10
P0202,Decoracion Pacifico Home 734,Hogar,Decoracion,Pacifico Home,125.63,84.59,2021-02-28
P0203,Papel higienico Frescor 904,Limpieza,Papel higienico,Frescor,15.76,11.6,2019-08-14
P0204,Azucar y sal Sol Peruano 834,Abarrotes,Azucar y sal,Sol Peruano,12.09,8.32,2019-12-31
P0205,Televisores Inca Blanco 236,Electrohogar,Televisores,Inca Blanco,1325.8,850.39,2021-05-19
P0206,Ventiladores Nortex 662,Electrohogar,Ventiladores,Nortex,725.93,494.44,2020-04-19
P0207,Cervezas Inca Blanco 962,Bebidas,Cervezas,Inca Blanco,11.38,6.86,2024-05-25
P0208,Arroz Wari 996,Abarrotes,Arroz,Wari,7.15,4.52,2024-03-12
P0209,Lejia Costa Real 458,Limpieza,Lejia,Costa Real,5.53,3.66,2021-12-02
P0210,Desodorantes Rimac Hogar 778,Cuidado Personal,Desodorantes,Rimac Hogar,6.08,4.56,2024-04-19
P0211,Textiles de hogar Kallpa 222,Hogar,Textiles de hogar,Kallpa,113.7,78.55,2023-11-07
P0212,Conservas Andina 779,Abarrotes,Conservas,Andina,33.43,24.89,2021-05-07
P0213,Detergentes Trujillana 909,Limpieza,Detergentes,Trujillana,9.49,6.32,2022-01-25
P0214,Refrigeradoras MaxHogar 626,Electrohogar,Refrigeradoras,MaxHogar,64.06,45.49,2020-04-12
P0215,Cuidado facial Trujillana 314,Cuidado Personal,Cuidado facial,Trujillana,9.68,7.08,2022-10-05
P0216,Menaje de cocina Cusco Natural 13,Hogar,Menaje de cocina,Cusco Natural,60.62,37.84,2019-09-03
P0217,Organizadores Trujillana 136,Hogar,Organizadores,Trujillana,206.25,162.83,2019-08-14
P0218,Cuidado dental Sol Peruano 353,Cuidado Personal,Cuidado dental,Sol Peruano,38.09,28.93,2022-10-15
P0219,Menaje de cocina Limax 610,Hogar,Menaje de cocina,Limax,138.87,89.76,2022-05-27
P0220,Agua Rimac Hogar 678,Bebidas,Agua,Rimac Hogar,15.22,9.43,2022-07-25
P0221,Azucar y sal Nortex 708,Abarrotes,Azucar y sal,Nortex,4.38,3.47,2022-06-13
P0222,Arroz MaxHogar 408,Abarrotes,Arroz,MaxHogar,3.07,2.28,2019-12-24
P0223,Aceites Limax 878,Abarrotes,Aceites,Limax,7.89,5.58,2020-07-27
P0224,Desodorantes Andina 530,Cuidado Personal,Desodorantes,Andina,22.84,18.04,2020-08-11
P0225,Cafe e infusiones Costa Real 229,Bebidas,Cafe e infusiones,Costa Real,7.94,5.15,2019-08-04
P0226,Jugos Cusco Natural 744,Bebidas,Jugos,Cusco Natural,2.15,1.72,2022-07-22
P0227,Lejia Piurana 604,Limpieza,Lejia,Piurana,4.54,3.33,2023-12-04
P0228,Organizadores MaxHogar 446,Hogar,Organizadores,MaxHogar,15.15,9.54,2022-04-11
P0229,Lejia Wari 928,Limpieza,Lejia,Wari,14.89,10.61,2022-10-17
P0230,Planchas Selecta 844,Electrohogar,Planchas,Selecta,288.7,205.66,2018-07-04
P0231,Iluminacion Costa Real 893,Hogar,Iluminacion,Costa Real,11.93,8.0,2019-07-19
P0232,Textiles de hogar Pacifico Home 514,Hogar,Textiles de hogar,Pacifico Home,27.98,18.76,2022-04-27
P0233,Desodorantes MaxHogar 148,Cuidado Personal,Desodorantes,MaxHogar,13.35,10.24,2020-12-07
P0234,Menaje de cocina Piurana 529,Hogar,Menaje de cocina,Piurana,134.93,99.49,2023-06-08
P0235,Textiles de hogar Pacifico Home 71,Hogar,Textiles de hogar,Pacifico Home,13.58,9.76,2023-12-20
P0236,Conservas MaxHogar 819,Abarrotes,Conservas,MaxHogar,4.78,3.65,2020-04-24
P0237,Licuadoras Frescor 370,Electrohogar,Licuadoras,Frescor,61.88,39.61,2018-01-18
P0238,Fideos Frescor 165,Abarrotes,Fideos,Frescor,8.7,6.17,2018-05-13
P0239,Arroz Trujillana 601,Abarrotes,Arroz,Trujillana,6.88,4.54,2022-01-21
P0240,Arroz Limax 766,Abarrotes,Arroz,Limax,30.36,20.46,2020-06-11
P0241,Jugos Limax 175,Bebidas,Jugos,Limax,4.43,3.39,2022-02-17
P0242,Azucar y sal MaxHogar 31,Abarrotes,Azucar y sal,MaxHogar,3.43,2.43,2022-12-24
P0243,Aceites Sol Peruano 875,Abarrotes,Aceites,Sol Peruano,19.52,14.21,2022-03-23
P0244,Lejia Costa Real 640,Limpieza,Lejia,Costa Real,15.75,10.09,2023-09-18
P0245,Refrigeradoras Limax 495,Electrohogar,Refrigeradoras,Limax,626.95,467.33,2024-02-11
P0246,Detergentes Valle Norte 903,Limpieza,Detergentes,Valle Norte,10.74,7.53,2022-07-04
P0247,Organizadores Sureña 56,Hogar,Organizadores,Sureña,194.48,124.67,2023-07-02
P0248,Energizantes Sureña 628,Bebidas,Energizantes,Sureña,7.0,5.49,2022-04-22
P0249,Microondas Trujillana 858,Electrohogar,Microondas,Trujillana,1516.26,1079.92,2022-03-06
P0250,Ventiladores Frescor 635,Electrohogar,Ventiladores,Frescor,66.31,47.55,2022-06-22
P0251,Ventiladores Costa Real 304,Electrohogar,Ventiladores,Costa Real,148.87,115.68,2019-09-19
P0252,Iluminacion Costa Real 120,Hogar,Iluminacion,Costa Real,109.78,81.22,2021-01-01
P0253,Lejia MaxHogar 324,Limpieza,Lejia,MaxHogar,20.87,14.41,2023-01-30
P0254,Planchas Piurana 695,Electrohogar,Planchas,Piurana,1688.48,1243.92,2018-07-07
P0255,Planchas Limax 588,Electrohogar,Planchas,Limax,65.3,45.1,2021-09-02
P0256,Energizantes Valle Norte 347,Bebidas,Energizantes,Valle Norte,2.24,1.35,2019-02-08
P0257,Refrigeradoras Frescor 327,Electrohogar,Refrigeradoras,Frescor,1454.6,901.33,2018-05-19
P0258,Desodorantes Amauta 726,Cuidado Personal,Desodorantes,Amauta,20.17,15.52,2020-07-14
P0259,Ventiladores Inca Blanco 211,Electrohogar,Ventiladores,Inca Blanco,868.66,614.05,2024-03-26
P0260,Fideos Inca Blanco 130,Abarrotes,Fideos,Inca Blanco,4.18,3.13,2020-08-16
P0261,Fideos Andina 609,Abarrotes,Fideos,Andina,7.5,5.98,2021-03-06
P0262,Microondas Cusco Natural 358,Electrohogar,Microondas,Cusco Natural,100.63,67.84,2020-06-18
P0263,Televisores Valle Norte 82,Electrohogar,Televisores,Valle Norte,96.58,73.29,2022-09-19
P0264,Bolsas Inca Blanco 940,Limpieza,Bolsas,Inca Blanco,5.09,3.14,2020-09-21
P0265,Agua Cusco Natural 968,Bebidas,Agua,Cusco Natural,10.71,6.9,2018-02-17
P0266,Refrigeradoras Andina 822,Electrohogar,Refrigeradoras,Andina,755.01,500.22,2022-06-01
P0267,Refrigeradoras Amauta 988,Electrohogar,Refrigeradoras,Amauta,396.27,243.3,2019-09-06
P0268,Azucar y sal Inca Blanco 939,Abarrotes,Azucar y sal,Inca Blanco,3.78,2.49,2023-10-03
P0269,Lejia Selecta 329,Limpieza,Lejia,Selecta,27.11,20.39,2021-12-18
P0270,Jugos Amauta 151,Bebidas,Jugos,Amauta,8.23,6.13,2018-11-14
